style-scope src,yt-simple-endpoint href,style-scope,yt-simple-endpoint,yt-simple-endpoint href 2,ytAttributedStringHost,style-scope 2,ytCoreImageHost src,style-scope 3,,,,,
https://yt3.ggpht.com/NS_aASIQsvEz7PnftWDK6Z-Atii_A1YsBtS2R2aug10Zhg923QU53JRy74kgONirRcwddMwSJw=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@Mazze_fr,@Mazze_fr,2 minggu yang lalu,https://www.youtube.com/watch?v=UEMXK7wqDDQ&lc=UgxMbvLJ9ZEhEiK4amV4AaABAg&pp=0gcJCSIANpG00pGi,"impact dari kedatangannya coach Ynot di navi langsung terasa,ini mungkin akan jadi hal baru untuk navi setelah melihat season"" sebelumnya",153,,,,,,,
https://yt3.ggpht.com/mLPoIAvCn7-COxLFbwF5sLqlNAjZ5zYmVtjI72S87LSr3hWwuPiEssR-o8AZxIYZdo0IJ7jM=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@CyanWolfer,@CyanWolfer,2 minggu yang lalu (diedit),https://www.youtube.com/watch?v=UEMXK7wqDDQ&lc=Ugze38geIRdNg8HiZl54AaABAg,"[ BTR ] —VS— [ AE ]

• Game 1 - Draft  - Start 
• Game 2 - Draft  - Start 
• Game 3 - Draft  - Start 

• Interview 
• Mic Check 
────────────────────
[ NAVI ] —VS— [ RRQ ]

• Game 1 - Draft  - Start 
• Game 2 - Draft  - Start 

• Interview 
• Mic Check 
────────────────────
• Standings 
• Tomorrow Schedule 
────────────────────
• MLBB ID: [ 1184977068 ]

— CyanWolfer —",508,,,,,,,
https://yt3.ggpht.com/5OMumaUdrwNGOWXl8OT0S5RiWI9aJEyRVyNEbyJRPrvE5dlNStsTKlo28suBtoAt1ww8-BUlF4E=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@PaldiSultano,@PaldiSultano,2 minggu yang lalu,https://www.youtube.com/watch?v=UEMXK7wqDDQ&lc=Ugw8qO98lC8K5ii7_qt4AaABAg,Bau2 ga lolos tim poke ni  udah y main super super an nya,503,https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u1f602.png,,,,,,
https://yt3.ggpht.com/ytc/AIdro_nbMCV-TThtz8FNt8NHp9W8Caz4Yiv7oZvOuLlCQH6gz4k=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@LiliSomantri,@LiliSomantri,2 minggu yang lalu,https://www.youtube.com/watch?v=UEMXK7wqDDQ&lc=Ugy4z3QGpN4mpeGamHB4AaABAg,"Idok maju, rinz kumar maju ke bush... mengkocak....Absolute cinema",65,https://lh3.googleusercontent.com/cktIaPxFwnrPwn-alHvnvedHLUJwbHi8HCK3AgbHpphrMAW99qw0bDfxuZagSY5ieE9BBrA=s16-w24-h24-c-k-nd,,,,,,
https://yt3.ggpht.com/ytc/AIdro_kpcQeSdzBy-xyjlQG0UfTJkrSGFRrXKpMPVxm5YPwlWBc=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@hakikih3032,@hakikih3032,2 minggu yang lalu,https://www.youtube.com/watch?v=UEMXK7wqDDQ&lc=UgwUhxYTbv6m25K-xRl4AaABAg,"Gapapa Pak AP, percaya proses, Toy, Rinz, Idok akan bersinar nanti di MPL season 40. Generasi Emas..",149,https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u1f60a.png,,,,,,
https://yt3.ggpht.com/Dkh5zoT3K3Q3CGTaovj5RB4ZbsIH8gOEzqhO0AjHdlz_n1FmBCcIYw74ksIIVWVKXAo8QFw3hw=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@NOPAL918,@NOPAL918,2 minggu yang lalu,https://www.youtube.com/watch?v=UEMXK7wqDDQ&lc=UgxHmUCDgf65kQqxAep4AaABAg,Baru juga main dah dapat telur,102,https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u1f5ff.png,Terjemahkan ke bahasa Indonesia,,,,,
https://yt3.ggpht.com/fSJyZXx2yNOF35JjjsY45uCxkyaox2FNeCv-xn1_M-_OlZejJfrb-6JSn8of1lnhDZCeFjbkZg=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@IbnulRayat,@IbnulRayat,2 minggu yang lalu (diedit),https://www.youtube.com/watch?v=UEMXK7wqDDQ&lc=UgxXO7B6Bgsia7vN02V4AaABAg,Blazing duet from super toy  eh dicancel,77,https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u1f602.png,,,,,,
https://yt3.ggpht.com/ytc/AIdro_m8XKHqSWkWTWqWfEqmk_VKzILNNjD_Lzb82OiQOJGQrEQgbhrNF_TgQFrd7LuMlqJAqQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@Styxia-w7s,@Styxia-w7s,2 minggu yang lalu,https://www.youtube.com/watch?v=UEMXK7wqDDQ&lc=UgwEsg-G_4WOxMfkVV54AaABAg,"Toyy toyy, srinz udh open bush di mid malah jalan ke situ..  bukannya jadi supertoy malah jadi superletoy ahhh...",7,,,,,,,
https://yt3.ggpht.com/ytc/AIdro_n6ZBBa_3wssvZ-3uYejR-pYif7bZ3F-sJr33JSyktwwYCCLRkkFCHIjZW7Up1yAzVU4w=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@AHMADPAREPARE,@AHMADPAREPARE,2 minggu yang lalu,https://www.youtube.com/watch?v=UEMXK7wqDDQ&lc=UgzmG6VZ7rC8X5p-VQF4AaABAg,Supertoyy blazing duet nyapu angin,8,https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u1f602.png,,,,,,
https://yt3.ggpht.com/JRUFQMdk4pb9mt95z2CtctU15xVEMJ7uTYMPEOWmCesGy4Od9IhS3jeENhoheWhsRq3FHEAcQws=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@DEDY0508,@DEDY0508,2 minggu yang lalu,https://www.youtube.com/watch?v=UEMXK7wqDDQ&lc=UgzQUxXey6QvOSeaOf14AaABAg,Udah yahhh main super super ran nya,21,https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u1f602.png,,,,,,
